material_id,m3gnet_energy,m3gnet_volume,n_sites,e_form_per_atom_m3gnet,e_form_per_atom_m3gnet_uncorrected,e_form_per_atom_m3gnet_megnet_old,e_form_per_atom_m3gnet_megnet
wbm-1-33721,-15.9394,116.4704,4,-0.2766,-0.2766,-0.346,-0.346
wbm-1-33722,-16.0662,121.5925,4,-0.2931,-0.2931,-0.3632,-0.3632
wbm-1-33723,-18.7907,69.5357,4,-0.3292,-0.3292,-0.3421,-0.3421
wbm-1-33724,-52.0948,263.5656,12,-0.5402,-0.5402,-0.5158,-0.5158
wbm-1-33725,-33.4386,107.8758,4,0.1073,0.1073,0.222,0.222
wbm-1-33726,-15.9088,113.0668,4,-0.2849,-0.2849,-0.3303,-0.3303
wbm-1-33727,-26.5921,77.4219,4,0.6139,0.6139,0.8345,0.8345
wbm-1-33728,-15.6577,109.5526,4,-0.2642,-0.2642,-0.2833,-0.2833
wbm-1-33729,-27.1654,259.022,8,-0.702,-0.491,-0.4618,-0.6728
wbm-1-33730,-10.4595,117.5242,4,-0.1005,-0.1005,-0.0784,-0.0784
wbm-1-33731,-15.2517,99.953,4,-0.242,-0.242,-0.2012,-0.2012
wbm-1-33732,-24.2765,111.6529,4,0.9096,0.9096,0.5788,0.5788
wbm-1-33733,-17.2505,159.157,6,-0.209,-0.209,-0.189,-0.189
wbm-1-33734,-34.4095,312.8581,12,-0.2014,-0.2014,-0.179,-0.179
wbm-1-33735,-11.4446,106.5616,4,-0.1951,-0.1951,-0.1686,-0.1686
wbm-1-33736,-9.8443,126.408,4,-0.3583,-0.3583,-0.3745,-0.3745
wbm-1-33737,-4.9572,258.401,4,0.1599,0.1599,0.2154,0.2154
wbm-1-33738,-10.1078,147.7311,4,-0.4234,-0.4234,-0.3367,-0.3367
wbm-1-33739,-10.3652,145.9435,4,-0.4135,-0.4135,-0.3867,-0.3867
wbm-1-33740,-6.3324,212.1331,4,0.0146,0.0146,0.0418,0.0418
wbm-1-33741,-9.2426,107.0815,4,-0.1414,-0.1414,-0.1937,-0.1937
wbm-1-33742,-27.0692,310.0079,9,-0.707,-0.707,-0.7308,-0.7308
wbm-1-33743,-36.0374,415.7334,12,-0.7024,-0.7024,-0.7224,-0.7224
wbm-1-33744,-38.3258,333.1598,12,-1.215,-1.0474,-1.2583,-1.2048136666666667
wbm-1-33745,-5.5855,122.5018,4,-0.1819,-0.1819,-0.2333,-0.2333
wbm-1-33746,-11.8283,128.6112,4,-0.3478,-0.3478,-0.3204,-0.3204
wbm-1-33747,-14.698,91.3513,4,-0.3316,-0.3316,-0.2706,-0.2706
wbm-1-33748,-16.5609,86.3047,4,-0.3518,-0.3518,-0.2823,-0.2823
wbm-1-33749,-16.4937,81.5646,4,0.3117,0.3117,0.3915,0.3915
wbm-1-33750,-28.7456,289.0382,9,-0.8776,-0.8136,-0.8253,-0.8893
wbm-1-33751,-38.288,385.2662,12,-0.8743,-0.8103,-0.8222,-0.8862000000000001
wbm-1-33752,-8.8142,126.439,4,-0.2692,-0.2692,-0.2594,-0.2594
wbm-1-33753,-11.9908,93.7808,4,-0.3981,-0.0613,-0.1454,-0.316285
wbm-1-33754,-11.478,112.9416,4,-0.4492,-0.3235,-0.4766,-0.436485
wbm-1-33755,-24.9619,82.233,4,0.9472,0.9472,1.145,1.145
wbm-1-33756,-19.6444,71.8993,4,0.0209,0.0209,0.2383,0.2383
wbm-1-33757,-12.0135,84.6098,4,0.4436,0.4436,0.4728,0.4728
wbm-1-33758,-31.6005,64.4543,4,-0.1858,-0.1858,-0.105,-0.105
wbm-1-33759,-16.1444,91.718,4,0.4403,0.4403,0.9933,0.9933
wbm-1-33760,-15.3018,114.0415,4,-0.2495,-0.2495,-0.2212,-0.2212
wbm-1-33761,-14.9592,88.4318,4,-0.6136,-0.6136,-0.6221,-0.6221
wbm-1-33762,-7.9289,99.0132,4,-0.3411,-0.3411,-0.3604,-0.3604
wbm-1-33763,-11.6519,109.2901,4,-0.2424,-0.2424,-0.2392,-0.2392
wbm-1-33764,-30.3342,74.3539,4,0.3158,0.3158,0.1133,0.1133
wbm-1-33765,-27.0868,264.5226,8,-0.7221,-0.5111,-0.4737,-0.6847
wbm-1-33766,-13.1089,116.7355,4,-0.6135,-0.4025,-0.2784,-0.48939999999999995
wbm-1-33767,-18.2436,115.5073,4,-1.3864,-1.1754,-1.0756,-1.2866
wbm-1-33768,-16.7768,110.2317,4,-1.3512,-1.1402,-1.0097,-1.2207000000000001
wbm-1-33769,-16.6212,109.0184,4,-1.3221,-1.1111,-0.9805,-1.1915
wbm-1-33770,-26.4858,113.1768,4,-1.4112,-1.2002,-1.0451,-1.2561
wbm-1-33771,-16.6783,109.809,4,-1.3327,-1.1217,-0.9984,-1.2094
wbm-1-33772,-18.2037,142.5415,4,-1.6256,-1.4146,-1.4172,-1.6282
wbm-1-33773,-17.7535,120.4716,4,-1.5131,-1.3021,-1.2489,-1.4599
wbm-1-33774,-16.3293,107.6702,4,-1.2608,-1.0498,-0.9225,-1.1335
wbm-1-33775,-17.2534,115.7704,4,-1.4301,-1.2191,-1.1068,-1.3178
wbm-1-33776,-23.4449,107.634,4,-0.933,-0.722,-0.5549,-0.7658999999999999
wbm-1-33777,-16.7246,117.9177,4,-1.3022,-1.0912,-1.0923,-1.3033000000000001
wbm-1-33778,-24.8266,110.608,4,-0.9484,-0.7374,-0.81,-1.0210000000000001
wbm-1-33779,-17.141,113.84,4,-1.4143,-1.2033,-1.0643,-1.2753
wbm-1-33780,-20.7245,95.7634,4,-0.5254,-0.3144,0.2612,0.050199999999999995
wbm-1-33781,-16.887,111.3067,4,-1.3719,-1.1609,-1.0323,-1.2433
wbm-1-33782,-23.2542,315.4203,8,-0.6248,-0.4138,-0.3161,-0.5271
wbm-1-33783,-16.3773,109.0596,4,-1.2841,-1.0731,-0.9456,-1.1566
wbm-1-33784,-21.6814,109.7395,4,-0.9062,-0.6952,-0.4639,-0.6748999999999999
wbm-1-33785,-13.6055,112.0624,4,-1.3252,-1.1142,-1.0747,-1.2857
wbm-1-33786,-33.4202,490.251,12,-1.1386,-0.998,-1.017,-1.157667
wbm-1-33787,-24.8397,156.571,6,-0.6277,-0.6277,-0.5952,-0.5952
wbm-1-33788,-23.7906,265.5637,8,-0.9519,-0.7409,-0.7777,-0.9886999999999999
wbm-1-33789,-19.4969,79.8158,4,0.3323,0.3323,0.4253,0.4253
wbm-1-33790,-20.5526,76.5098,4,0.1426,0.1426,0.1504,0.1504
wbm-1-33791,-57.2859,278.3126,10,-1.4134,-1.1302,-1.1507,-1.4339
wbm-1-33792,-16.6836,73.0907,4,-0.2294,-0.2294,-0.2422,-0.2422
wbm-1-33793,-9.4751,85.0344,4,0.0876,0.0876,0.0715,0.0715
wbm-1-33794,-27.3398,60.3236,4,-0.1113,-0.1113,-0.1331,-0.1331
wbm-1-33795,-23.3098,65.5193,4,-0.4875,-0.4875,-0.5652,-0.5652
wbm-1-33796,-24.9454,61.1445,4,-0.2497,-0.2497,-0.1966,-0.1966
wbm-1-33797,-20.8664,86.9854,4,-1.4002,-1.1642,-1.1643,-1.4002999999999999
wbm-1-33798,-41.521,167.5874,8,-1.3737,-1.1377,-1.1011,-1.3371
wbm-1-33799,-17.9675,94.2306,4,-0.8267,-0.6157,-0.2806,-0.49160000000000004
wbm-1-33800,-13.2847,87.5613,4,0.1646,0.1646,0.2592,0.2592
wbm-1-33801,-18.2826,101.0453,4,0.1782,0.1782,0.2165,0.2165
wbm-1-33802,-19.2975,102.2659,4,0.2545,0.2545,0.1287,0.1287
wbm-1-33803,-13.9582,113.4838,4,-0.1241,-0.1241,-0.0383,-0.0383
wbm-1-33804,-16.0814,113.0074,4,0.3144,0.3144,0.4474,0.4474
wbm-1-33805,-17.6721,240.9145,8,-0.1064,-0.1064,-0.0642,-0.0642
wbm-1-33806,-8.8364,120.0908,4,-0.1065,-0.1065,-0.0727,-0.0727
wbm-1-33807,-3.9237,58.6612,2,-0.1193,-0.1193,-0.1233,-0.1233
wbm-1-33808,-14.76,105.7384,4,-0.1933,-0.1933,-0.1844,-0.1844
wbm-1-33809,-14.8774,85.0661,4,-0.6328,-0.6328,-0.6417,-0.6417
wbm-1-33810,-7.6794,95.6291,4,-0.3184,-0.3184,-0.3344,-0.3344
wbm-1-33811,-21.9552,71.6297,4,0.3862,0.3862,0.7604,0.7604
wbm-1-33812,-17.0694,69.1922,4,-0.0288,-0.0288,0.0591,0.0591
wbm-1-33813,-10.2027,91.7395,4,0.2028,0.2028,0.3213,0.3213
wbm-1-33814,-27.5487,57.3695,4,0.1336,0.1336,0.0429,0.0429
wbm-1-33815,-24.8101,59.4895,4,0.0812,0.0812,0.174,0.174
wbm-1-33816,-20.8835,85.3083,4,-1.1073,-0.8713,-0.8519,-1.0878999999999999
wbm-1-33817,-41.5087,164.4001,8,-1.075,-0.839,-0.8022,-1.0382
wbm-1-33818,-18.0324,87.2479,4,-0.5459,-0.3349,0.0075,-0.2035
wbm-1-33819,-13.4697,89.379,4,0.4155,0.4155,0.4297,0.4297
wbm-1-33821,-24.2381,88.3734,4,-0.2861,-0.2861,-0.3364,-0.3364
wbm-1-33822,-25.3416,88.3406,4,0.0353,0.0353,0.008,0.008
wbm-1-33823,-19.165,112.1482,4,-0.2992,-0.2992,-0.2433,-0.2433
wbm-1-33824,-21.8592,92.8888,4,-0.3832,-0.3832,-0.4257,-0.4257
wbm-1-33825,-22.4597,90.6821,4,-0.21,-0.21,-0.2666,-0.2666
wbm-1-33826,-23.7294,88.1756,4,-0.0499,-0.0499,-0.0445,-0.0445
wbm-1-33827,-19.5103,107.7082,4,-0.3113,-0.3113,-0.297,-0.297
wbm-1-33828,-16.8309,88.1784,4,-0.6235,-0.6235,-0.6494,-0.6494
wbm-1-33829,-9.478,123.4931,4,-0.3409,-0.3409,-0.3471,-0.3471
wbm-1-33830,-7.6274,122.1271,4,-0.2158,-0.2158,-0.2267,-0.2267
wbm-1-33831,-12.1072,87.6406,4,-0.6743,-0.6743,-0.6999,-0.6999
wbm-1-33832,-5.1868,102.132,4,-0.4293,-0.4293,-0.4206,-0.4206
wbm-1-33833,-11.6694,113.6887,4,-0.3455,-0.3455,-0.371,-0.371
wbm-1-33834,-8.7749,110.0598,4,-0.2969,-0.2969,-0.3142,-0.3142
wbm-1-33835,-9.87,98.883,4,-0.3684,-0.3684,-0.352,-0.352
wbm-1-33836,-33.2318,483.3518,10,-1.6782,-1.4508,-1.4622,-1.6896
wbm-1-33837,-18.6702,110.888,4,-1.3596,-1.1486,-1.0054,-1.2164000000000001
wbm-1-33838,-13.5117,109.0062,4,-0.2494,-0.2494,-0.2416,-0.2416
wbm-1-33839,-7.8645,69.5347,4,-0.1872,-0.1872,-0.2031,-0.2031
wbm-1-33840,-6.0364,117.3382,4,-0.0689,-0.0689,-0.0512,-0.0512
wbm-1-33841,-4.8143,79.0012,4,-0.0124,-0.0124,0.0332,0.0332
wbm-1-33842,-6.6891,80.7214,4,-0.0239,-0.0239,0.0831,0.0831
wbm-1-33843,-12.6184,62.1709,4,0.0155,0.0155,-0.0641,-0.0641
wbm-1-33844,-9.4237,97.6763,4,-0.1614,-0.1614,-0.0502,-0.0502
wbm-1-33845,-9.9464,65.148,4,-0.2311,-0.2311,-0.3016,-0.3016
wbm-1-33846,-11.1208,63.279,4,-0.302,-0.302,-0.3419,-0.3419
wbm-1-33847,-11.6814,62.102,4,-0.1188,-0.1188,-0.1444,-0.1444
wbm-1-33848,-5.8843,103.499,4,-0.0882,-0.0882,-0.0018,-0.0018
wbm-1-33849,-3.8486,56.8995,3,-0.0022,-0.0022,0.0975,0.0975
wbm-1-33850,-5.0416,71.6113,4,0.015,0.015,0.1224,0.1224
wbm-1-33851,-10.4438,153.406,8,-0.0301,-0.0301,0.0022,0.0022
wbm-1-33852,-5.0146,71.5649,4,0.0218,0.0218,0.0585,0.0585
wbm-1-33853,-8.3001,74.2602,4,-0.0132,-0.0132,-0.0475,-0.0475
wbm-1-33854,-34.2928,237.9448,12,-0.444,-0.444,-0.4088,-0.4088
wbm-1-33855,-10.1593,72.8884,4,-0.2573,-0.2573,-0.3164,-0.3164
wbm-1-33856,-14.1463,167.9095,6,-0.2003,-0.2003,-0.1699,-0.1699
wbm-1-33857,-22.8564,175.3838,9,-0.1379,-0.1379,-0.0685,-0.0685
wbm-1-33858,-3.6553,91.9803,4,-0.1164,-0.1164,-0.1101,-0.1101
wbm-1-33859,-9.9029,102.308,4,0.0261,0.0261,-0.0148,-0.0148
wbm-1-33860,-14.0032,62.4304,4,-0.2653,-0.2653,-0.3714,-0.3714
wbm-1-33861,-15.25,135.3684,6,-0.3686,-0.3046,-0.2643,-0.3283
wbm-1-33862,-30.6634,288.0556,12,-0.3822,-0.3182,-0.314,-0.378
wbm-1-33863,-7.3086,102.4296,4,-0.0003,-0.0003,-0.0338,-0.0338
wbm-1-33864,-4.9719,83.6519,4,0.0481,0.0481,0.0312,0.0312
wbm-1-33865,-4.9383,85.4477,4,0.0565,0.0565,0.0756,0.0756
wbm-1-33866,-10.093,188.3934,8,0.0295,0.0295,0.0391,0.0391
wbm-1-33867,-26.9918,77.4289,4,0.0661,0.0661,-0.0743,-0.0743
wbm-1-33868,-28.7673,76.2488,4,0.2195,0.2195,0.099,0.099
wbm-1-33869,-21.396,97.2316,4,0.1836,0.1836,0.3991,0.3991
wbm-1-33870,-29.3179,75.9002,4,0.3861,0.3861,0.2567,0.2567
wbm-1-33871,-22.1809,92.4782,4,0.0616,0.0616,0.228,0.228
wbm-1-33872,-27.2522,79.6793,4,0.3816,0.3816,0.2846,0.2846
wbm-1-33873,-10.5027,92.6598,4,-0.0063,-0.0063,-0.0559,-0.0559
wbm-1-33874,-28.2348,67.7233,4,-0.172,-0.172,-0.1212,-0.1212
wbm-1-33875,-24.387,71.4353,4,-0.5937,-0.5937,-0.5879,-0.5879
wbm-1-33876,-25.8571,68.0404,4,-0.3146,-0.3146,-0.2802,-0.2802
wbm-1-33877,-19.2601,99.2946,4,-0.9868,-0.7758,-0.5114,-0.7223999999999999
wbm-1-33878,-14.7714,95.8657,4,-0.044,-0.044,0.0861,0.0861
wbm-1-33879,-25.906,72.583,4,0.1008,0.1008,0.3793,0.3793
wbm-1-33880,-22.6508,74.5216,4,0.3268,0.3268,0.5867,0.5867
wbm-1-33881,-21.7613,74.7329,4,0.3944,0.3944,0.4748,0.4748
wbm-1-33882,-24.82,75.8158,4,0.2417,0.2417,0.3709,0.3709
wbm-1-33883,-32.2767,68.765,4,-0.1008,-0.1008,0.0647,0.0647
wbm-1-33884,-34.074,67.844,4,0.0472,0.0472,0.1318,0.1318
wbm-1-33885,-23.6504,78.5001,4,0.4368,0.4368,0.5693,0.5693
wbm-1-33886,-22.5341,54.2952,3,0.167,0.167,0.1947,0.1947
wbm-1-33887,-23.7446,54.768,3,-0.0894,-0.0894,0.0037,0.0037
wbm-1-33888,-25.3722,75.6615,4,-0.0593,-0.0593,0.1739,0.1739
wbm-1-33889,-20.5476,56.9386,3,0.1926,0.1926,0.2838,0.2838
wbm-1-33890,-60.3037,123.4081,6,0.0026,0.0026,0.1832,0.1832
wbm-1-33891,-20.291,57.4107,3,0.0718,0.0718,0.1791,0.1791
wbm-1-33892,-33.3634,69.9564,4,-0.2621,-0.2621,-0.0886,-0.0886
wbm-1-33893,-41.4442,67.9777,4,-0.3894,-0.3894,-0.2012,-0.2012
wbm-1-33894,-43.2081,67.2298,4,-0.2331,-0.2331,-0.1681,-0.1681
wbm-1-33895,-38.8882,68.641,4,-0.4423,-0.4423,-0.2076,-0.2076
wbm-1-33896,-44.2192,67.6786,4,-0.1816,-0.1816,-0.1707,-0.1707
wbm-1-33897,-39.598,67.4361,4,-0.2964,-0.2964,-0.1536,-0.1536
wbm-1-33898,-44.5339,69.2778,4,-0.1319,-0.1319,-0.0143,-0.0143
wbm-1-33899,-35.1893,69.1758,4,-0.1214,-0.1214,0.0416,0.0416
wbm-1-33900,-39.1924,67.8116,4,-0.4229,-0.4229,-0.1671,-0.1671
wbm-1-33901,-75.1744,165.0806,10,-0.369,-0.369,-0.3041,-0.3041
wbm-1-33902,-29.2714,71.078,4,-0.1538,-0.1538,0.001,0.001
wbm-1-33903,-35.9867,67.5459,4,-0.4415,-0.4415,-0.2516,-0.2516
wbm-1-33904,-37.8647,66.8701,4,-0.3137,-0.3137,-0.1447,-0.1447
wbm-1-33905,-33.3099,68.8166,4,-0.4641,-0.4641,-0.291,-0.291
wbm-1-33906,-38.8577,66.898,4,-0.2577,-0.2577,-0.1544,-0.1544
wbm-1-33907,-39.0644,68.5053,4,-0.1809,-0.1809,-0.0059,-0.0059
wbm-1-33908,-26.0292,51.5969,3,-0.2156,-0.2156,-0.1798,-0.1798
wbm-1-33909,-110.6526,215.6829,12,-0.4632,-0.4632,-0.305,-0.305
wbm-1-33910,-44.8964,65.8253,4,-0.2555,-0.2555,-0.1805,-0.1805
wbm-1-33911,-40.2678,67.449,4,-0.3874,-0.3874,-0.2205,-0.2205
wbm-1-33912,-32.9781,50.8888,3,-0.1103,-0.1103,-0.1051,-0.1051
wbm-1-33913,-37.9292,66.8303,4,-0.381,-0.381,-0.25,-0.25
wbm-1-33914,-39.8938,65.8219,4,-0.2749,-0.2749,-0.1764,-0.1764
wbm-1-33915,-41.4522,66.3874,4,-0.3602,-0.3602,-0.2125,-0.2125
wbm-1-33916,-28.58,50.7051,3,-0.3377,-0.3377,-0.2298,-0.2298
wbm-1-33917,-56.9653,104.146,6,-0.3052,-0.3052,-0.1912,-0.1912
wbm-1-33918,-32.0085,67.8084,4,0.0753,0.0753,0.2731,0.2731
wbm-1-33919,-33.1606,68.791,4,-0.1024,-0.1024,0.11,0.11
wbm-1-33920,-39.4292,66.5826,4,-0.2784,-0.2784,-0.1934,-0.1934
wbm-1-33921,-41.4339,64.8995,4,-0.1824,-0.1824,-0.0957,-0.0957
wbm-1-33922,-35.7683,66.3009,4,-0.2779,-0.2779,-0.1225,-0.1225
wbm-1-33923,-37.1752,68.4642,4,-0.4068,-0.4068,-0.1531,-0.1531
wbm-1-33924,-49.9281,118.1572,6,-0.2748,-0.2108,-0.058,-0.122
wbm-1-33925,-24.4251,76.9659,4,0.0227,0.0227,0.093,0.093
wbm-1-33926,-49.0844,114.8369,6,-0.11,-0.11,0.006,0.006
wbm-1-33927,-33.1485,68.3296,4,0.0618,0.0618,0.1204,0.1204
wbm-1-33928,-34.4376,68.7615,4,-0.1501,-0.1501,-0.0011,-0.0011
wbm-1-33929,-31.0014,66.861,4,0.1212,0.1212,0.1539,0.1539
wbm-1-33930,-30.7935,70.0784,4,0.0184,0.0184,0.1217,0.1217
wbm-1-33931,-41.2632,66.2716,4,-0.4654,-0.4654,-0.2669,-0.2669
wbm-1-33932,-42.9643,65.9982,4,-0.2934,-0.2934,-0.1972,-0.1972
wbm-1-33933,-36.9891,66.7436,4,-0.3115,-0.3115,-0.183,-0.183
wbm-1-33934,-44.0069,65.9743,4,-0.2498,-0.2498,-0.2428,-0.2428
wbm-1-33935,-39.5355,66.0124,4,-0.402,-0.402,-0.2288,-0.2288
wbm-1-33936,-40.9631,65.5299,4,-0.2814,-0.2814,-0.195,-0.195
wbm-1-33937,-32.2059,73.3248,4,0.18,0.18,0.3095,0.3095
wbm-1-33938,-44.0587,67.3838,4,-0.1344,-0.1344,-0.1368,-0.1368
wbm-1-33939,-63.7368,251.6664,10,-0.7004,-0.4472,-0.4167,-0.6698999999999999
wbm-1-33940,-63.5128,259.9604,10,-0.678,-0.4248,-0.3325,-0.5857
wbm-1-33941,-96.8207,254.2117,12,-0.4271,-0.2864,-0.2022,-0.342867
wbm-1-33942,-21.9835,59.115,3,0.1939,0.1939,0.308,0.308
wbm-1-33943,-43.2474,67.8898,4,-0.3121,-0.3121,-0.1385,-0.1385
wbm-1-33944,-45.0787,67.2522,4,-0.1726,-0.1726,-0.1175,-0.1175
wbm-1-33945,-40.546,69.2672,4,-0.3286,-0.3286,-0.14,-0.14
wbm-1-33946,-46.1421,67.7738,4,-0.1342,-0.1342,-0.1253,-0.1253
wbm-1-33947,-35.3702,90.3195,5,0.1198,0.1198,0.2029,0.2029
wbm-1-33948,-65.0151,145.2277,8,0.1572,0.1572,0.2102,0.2102
wbm-1-33949,-30.0798,74.9746,4,0.1319,0.1319,0.2141,0.2141
wbm-1-33950,-60.52,151.3635,8,0.0869,0.0869,0.137,0.137
wbm-1-33951,-68.8947,203.0663,10,0.272,0.272,0.5728,0.5728
wbm-1-33952,-65.3338,152.5324,8,0.0972,0.0972,0.1697,0.1697
wbm-1-33953,-32.6337,75.8412,4,0.1055,0.1055,0.171,0.171
wbm-1-33954,-40.3626,68.6959,4,-0.3051,-0.3051,-0.2427,-0.2427
wbm-1-33955,-67.3261,200.8747,8,0.3942,0.3942,0.6901,0.6901
wbm-1-33956,-41.2681,69.7871,4,-0.0296,-0.0296,-0.0367,-0.0367
wbm-1-33957,-42.4204,68.7291,4,-0.2223,-0.2223,-0.1555,-0.1555
wbm-1-33958,-66.6503,158.8958,8,0.1728,0.1728,0.3547,0.3547
wbm-1-33959,-41.9646,85.2503,5,-0.2602,-0.2602,-0.2093,-0.2093
wbm-1-33960,-59.2473,131.3343,8,-0.3805,-0.3805,-0.3374,-0.3374
wbm-1-33961,-72.3608,140.3925,8,-0.1742,-0.1742,-0.0754,-0.0754
wbm-1-33962,-36.0402,69.3815,4,-0.1391,-0.1391,-0.0721,-0.0721
wbm-1-33963,-44.8948,87.6985,5,-0.4898,-0.4898,-0.346,-0.346
wbm-1-33964,-37.4641,71.1812,4,-0.2723,-0.2723,-0.1007,-0.1007
wbm-1-33965,-37.7242,69.742,4,-0.3373,-0.3373,-0.1873,-0.1873
wbm-1-33966,-86.8565,137.5182,8,-0.17,-0.17,-0.1166,-0.1166
wbm-1-33967,-43.1839,68.5541,4,-0.1089,-0.1089,-0.1162,-0.1162
wbm-1-33968,-54.8605,152.6027,8,-0.1966,-0.1966,-0.1845,-0.1845
wbm-1-33969,-46.7612,82.9653,5,-0.3458,-0.3458,-0.2316,-0.2316
wbm-1-33970,-38.4998,68.3059,4,-0.2079,-0.2079,-0.1451,-0.1451
wbm-1-33971,-81.0183,137.9004,8,-0.2327,-0.2327,-0.1708,-0.1708
wbm-1-33972,-79.5286,218.8093,10,-0.3173,-0.2405,-0.2036,-0.2804
wbm-1-33973,-77.2615,199.8761,10,-0.0615,-0.0615,0.152,0.152
wbm-1-33974,-69.1316,151.6465,8,-0.0631,-0.0631,-0.0013,-0.0013
wbm-1-33975,-34.5632,75.6755,4,-0.0624,-0.0624,-0.0055,-0.0055
wbm-1-33976,-81.642,140.878,8,-0.0391,-0.0391,0.1474,0.1474
wbm-1-33977,-38.3843,113.7153,5,-0.5276,-0.3588,-0.3337,-0.5025
wbm-1-33978,-31.6007,77.7974,4,0.2664,0.2664,0.3553,0.3553
wbm-1-33979,-31.6228,77.6028,4,0.2609,0.2609,0.3915,0.3915
wbm-1-33980,-65.2525,201.7589,9,0.0904,0.0904,0.1331,0.1331
wbm-1-33981,-53.6923,115.0057,6,0.0878,0.0878,0.1686,0.1686
wbm-1-33982,-76.6468,169.6111,9,-0.2653,-0.2653,-0.0244,-0.0244
wbm-1-33983,-77.4927,171.6302,9,-0.284,-0.284,-0.1235,-0.1235
wbm-1-33984,-80.2344,170.386,9,-0.2347,-0.2347,0.0104,0.0104
wbm-1-33985,-15.6978,73.5228,4,0.2479,0.2479,0.2663,0.2663
wbm-1-33986,-17.5468,75.7542,4,0.2428,0.2428,0.2297,0.2297
wbm-1-33987,-18.7931,75.7396,4,0.2458,0.2458,0.2754,0.2754
wbm-1-33988,-16.6586,79.8949,4,0.3676,0.3676,0.3481,0.3481
wbm-1-33989,-15.2941,53.429,3,0.1575,0.1575,0.1931,0.1931
wbm-1-33990,-15.0818,53.4374,3,0.2282,0.2282,0.2959,0.2959
wbm-1-33991,-35.2039,144.7127,8,0.2493,0.2493,0.3866,0.3866
wbm-1-33992,-20.6078,89.882,5,0.1648,0.1648,0.2137,0.2137
wbm-1-33993,-19.6566,71.8769,4,-0.0437,-0.0437,0.1688,0.1688
wbm-1-33994,-11.9908,82.7338,4,0.3876,0.3876,0.2628,0.2628
wbm-1-33995,-19.8469,87.9859,4,-0.3676,-0.1566,0.1153,-0.0957
wbm-1-33996,-25.2953,71.9134,4,0.1431,0.1431,0.1845,0.1845
wbm-1-33997,-12.2358,36.0147,2,0.349,0.349,0.6355,0.6355
wbm-1-33998,-19.7653,82.4624,4,0.1934,0.1934,0.0536,0.0536
wbm-1-33999,-16.719,75.2028,4,0.0584,0.0584,0.1041,0.1041
wbm-1-34000,-19.7556,81.854,4,0.1515,0.1515,0.0889,0.0889
wbm-1-34001,-18.4517,80.388,4,0.14,0.14,0.1252,0.1252
wbm-1-34002,-17.1964,54.1506,3,-0.1824,-0.1824,-0.133,-0.133
wbm-1-34003,-17.1794,53.6101,3,-0.1768,-0.1768,-0.0401,-0.0401
wbm-1-34004,-20.4653,72.4257,4,-0.1356,-0.1356,0.0334,0.0334
wbm-1-34005,-40.8342,145.2619,8,-0.1235,-0.1235,0.046,0.046
wbm-1-34006,-20.4088,72.6116,4,-0.1215,-0.1215,0.0487,0.0487
wbm-1-34007,-23.8941,90.5133,5,-0.1394,-0.1394,-0.0278,-0.0278
wbm-1-34008,-13.6348,35.3064,2,-0.1298,-0.1298,-0.0771,-0.0771
wbm-1-34009,-27.5195,71.819,4,-0.1923,-0.1923,-0.1393,-0.1393
wbm-1-34010,-13.4423,36.5662,2,-0.0335,-0.0335,0.1786,0.1786
wbm-1-34011,-27.3028,71.1825,4,-0.1381,-0.1381,-0.1568,-0.1568
wbm-1-34012,-35.8242,162.1842,6,-0.0103,-0.0103,0.1118,0.1118
wbm-1-34013,-12.6224,46.6066,2,0.6844,0.6844,0.532,0.532
wbm-1-34014,-82.9971,286.6369,12,0.0792,0.0792,0.2573,0.2573
wbm-1-34015,-24.627,161.9509,8,0.1391,0.1391,0.1782,0.1782
wbm-1-34016,-17.856,73.852,4,-0.071,-0.071,-0.0815,-0.0815
wbm-1-34017,-10.4256,81.29,4,0.3015,0.3015,0.1893,0.1893
wbm-1-34018,-21.6996,80.7125,4,0.0872,0.0872,0.1677,0.1677
wbm-1-34019,-10.4789,38.0937,2,0.2726,0.2726,0.5513,0.5513
wbm-1-34020,-39.1579,73.8407,4,-0.1672,-0.1672,-0.08,-0.08
wbm-1-34021,-37.7536,71.0724,4,-0.1477,-0.1477,-0.1168,-0.1168
wbm-1-34022,-41.9362,71.7985,4,0.228,0.228,0.413,0.413
wbm-1-34023,-40.5208,73.5534,4,-0.4167,-0.4167,-0.5762,-0.5762
wbm-1-34024,-42.5322,73.5151,4,-0.3223,-0.3223,-0.3861,-0.3861
wbm-1-34025,-40.0566,85.4714,4,-0.0209,-0.0209,0.1263,0.1263
wbm-1-34026,-40.0624,85.4089,4,-0.0224,-0.0224,0.1213,0.1213
wbm-1-34027,-60.0309,130.5719,6,-0.0239,-0.0239,0.0679,0.0679
wbm-1-34028,-40.4429,69.0726,4,-0.6769,-0.6769,-0.5888,-0.5888
wbm-1-34029,-44.5042,67.4671,4,-0.4977,-0.4977,-0.3938,-0.3938
wbm-1-34030,-35.5422,72.575,4,-0.8355,-0.8355,-0.6995,-0.6995
wbm-1-34031,-46.1684,67.8583,4,-0.3052,-0.3052,-0.2814,-0.2814
wbm-1-34032,-20.0701,40.4241,2,-0.0058,-0.0058,0.2526,0.2526
wbm-1-34033,-11.4839,90.7725,4,0.3968,0.3968,0.4045,0.4045
wbm-1-34034,-19.3972,171.3976,8,0.3284,0.3284,0.3555,0.3555
wbm-1-34035,-9.6453,84.6901,4,0.3418,0.3418,0.3705,0.3705
