material_id,chgnet_energy_IS2RE,e_form_per_atom_chgnet_uncorrected,e_form_per_atom_chgnet,e_form_per_atom_mp2020_corrected,e_form_per_atom_chgnet_megnet
wbm-1-50037,-37.6021,-0.7553,-0.9789,-0.688,-0.6833
wbm-1-50038,-36.8227,-0.4813,-0.7328,-0.475,-0.4855
wbm-1-50039,-44.4934,-0.8878,-1.1393,-0.825,-0.8839
wbm-1-50040,-50.3046,-0.8228,-1.0463,-0.813,-0.8266
wbm-1-50041,-49.2662,-0.6914,-0.9149,-0.573,-0.7208
wbm-1-50042,-48.8503,-0.8178,-1.0414,-0.801,-0.7961
wbm-1-50043,-47.4681,-0.4938,-0.6767,-0.497,-0.4926
wbm-1-50044,-47.3546,-0.2896,-0.4725,-0.3,-0.2474
wbm-1-50045,-47.4984,-0.3278,-0.5107,-0.325,-0.3438
wbm-1-50046,-48.5149,-0.3329,-0.5158,-0.311,-0.3457
wbm-1-50047,-47.4239,-0.4821,-0.665,-0.499,-0.4914
wbm-1-50048,-48.493,-0.3039,-0.4868,-0.276,-0.3315
wbm-1-50049,-51.9777,-0.345,-0.6804,-0.363,-0.3309
wbm-1-50050,-38.4964,-0.584,-0.8714,-0.534,-0.5098
wbm-1-50051,-41.8308,-0.5317,-0.8192,-0.471,-0.5222
wbm-1-50052,-37.07,-0.4687,-0.7561,-0.427,-0.4445
wbm-1-50053,-43.729,-0.6376,-0.925,-0.647,-0.6423
wbm-1-50054,-38.6598,-0.5592,-0.8466,-0.551,-0.6112
wbm-1-50055,-38.6991,-0.5648,-0.8523,-0.574,-0.5898
wbm-1-50056,-46.8909,-0.5015,-0.753,-0.45,-0.4999
wbm-1-50057,-51.282,-0.8373,-1.0608,-0.828,-0.8826
wbm-1-50058,-51.1674,-0.8056,-1.0292,-0.755,-0.8446
wbm-1-50059,-41.1538,-0.4801,-0.7316,-0.531,-0.4611
wbm-1-50060,-45.6222,-0.4678,-0.6913,-0.493,-0.4149
wbm-1-50061,-36.9029,-0.833,-1.1204,-0.83,-0.8565
wbm-1-50062,-36.8979,-0.8323,-1.1197,-0.827,-0.8544
wbm-1-50063,-35.3705,-0.6931,-0.9805,-0.624,-0.7092
wbm-1-50064,-40.6814,-0.9274,-1.2627,-0.94,-0.9381
wbm-1-50065,-36.3687,-0.5332,-0.7847,-0.505,-0.5568
wbm-1-50066,-34.6869,-1.4523,-1.7397,-1.464,-1.4613
wbm-1-50067,-30.2903,-0.9665,-1.2539,-0.952,-0.9794
wbm-1-50068,-34.2019,-1.4158,-1.7032,-1.424,-1.4413
wbm-1-50069,-42.6045,-0.6396,-0.8911,-0.722,-0.698
wbm-1-50070,-36.8225,-1.0087,-1.2602,-1.023,-1.0033
wbm-1-50071,-33.1595,-0.3818,-0.6692,-0.382,-0.3757
wbm-1-50072,-37.1176,-0.9353,-1.1868,-0.884,-0.945
wbm-1-50073,-32.9533,-0.5721,-0.8595,-0.578,-0.6128
wbm-1-50074,-28.5985,-0.7977,-1.0852,-0.788,-0.8105
wbm-1-50075,-32.5648,-0.7185,-0.97,-0.693,-0.711
wbm-1-50076,-76.4953,-1.187,-1.5223,-1.223,-1.1596
wbm-1-50077,-25.2339,-0.494,-0.7814,-0.493,-0.5236
wbm-1-50078,-30.9671,-0.5962,-0.8477,-0.568,-0.6003
wbm-1-50079,-36.3333,-0.9763,-1.2278,-0.978,-0.9807
wbm-1-50080,-73.4169,-1.1654,-1.5007,-1.227,-1.153
wbm-1-50081,-80.6012,-1.5855,-1.8091,-1.34,-1.5109
wbm-1-50082,-41.6941,-1.0129,-1.2644,-0.897,-1.0232
wbm-1-50083,-33.3027,-1.3335,-1.621,-1.318,-1.3376
wbm-1-50084,-27.3039,-0.7073,-0.9947,-0.721,-0.7157
wbm-1-50085,-43.1062,-0.806,-1.0575,-0.808,-0.8456
wbm-1-50086,-30.4351,-0.8049,-1.0923,-0.779,-0.8141
wbm-1-50087,-71.1886,-0.9445,-1.343,-0.941,-0.7305
wbm-1-50088,-32.524,-1.1031,-1.3546,-1.097,-1.0956
wbm-1-50089,-47.2591,-1.3052,-1.5287,-1.307,-1.2963
wbm-1-50090,-42.7628,-0.9396,-1.1632,-0.934,-0.9506
wbm-1-50091,-45.2833,-0.9227,-1.1462,-0.919,-0.9574
wbm-1-50092,-30.9539,-0.9843,-1.2358,-0.963,-0.9663
wbm-1-50093,-33.349,-1.1016,-1.3531,-1.098,-1.0507
wbm-1-50094,-31.7543,-0.9984,-1.2499,-0.992,-0.8922
wbm-1-50095,-43.8015,-1.5084,-1.7599,-1.487,-1.4733
wbm-1-50096,-40.1009,-1.3925,-1.644,-1.372,-1.371
wbm-1-50097,-31.6982,-0.5609,-0.8124,-0.519,-0.5912
wbm-1-50098,-32.8254,-0.6056,-0.8571,-0.611,-0.6282
wbm-1-50099,-35.472,-0.6861,-0.9376,-0.612,-0.6721
wbm-1-50100,-39.3416,-0.5876,-0.8112,-0.604,-0.634
wbm-1-50101,-47.6297,-0.489,-0.6719,-0.5,-0.5012
wbm-1-50102,-32.9713,-0.5798,-0.8313,-0.49,-0.5735
wbm-1-50103,-44.6838,-0.7416,-1.029,-0.669,-0.7394
wbm-1-50104,-46.1746,-0.7893,-1.0767,-0.794,-0.7627
wbm-1-50105,-51.5798,-0.8282,-1.0797,-0.431,-0.7731
wbm-1-50106,-41.2382,-1.6704,-1.9578,-1.661,-1.6996
wbm-1-50107,-43.7705,-0.6552,-0.9067,-0.652,-0.6448
wbm-1-50108,-42.4027,-0.5497,-0.8012,-0.624,-0.6147
wbm-1-50109,-46.9411,-0.5374,-0.761,-0.54,-0.4849
wbm-1-50110,-38.4282,-0.9521,-1.2395,-0.938,-0.9582
wbm-1-50111,-36.8328,-0.8031,-1.0905,-0.63,-0.795
wbm-1-50112,-36.8481,-0.8053,-1.0927,-0.621,-0.7855
wbm-1-50113,-42.0304,-1.0369,-1.3722,-1.06,-1.0624
wbm-1-50114,-37.4311,-0.5795,-0.831,-0.622,-0.6765
wbm-1-50115,-37.3088,-0.9778,-1.2293,-0.995,-0.9653
wbm-1-50116,-77.3608,-1.1454,-1.369,-1.079,-0.9426
wbm-1-50117,-43.8978,-1.9161,-2.2036,-1.896,-1.8912
wbm-1-50118,-46.0679,-1.5773,-1.9126,-1.569,-1.6122
wbm-1-50119,-40.9037,-0.8961,-1.1476,-0.9,-0.8919
wbm-1-50120,-62.568,-0.9274,-1.3298,-0.922,-0.9446
wbm-1-50121,-36.8518,-0.4774,-0.7289,-0.461,-0.5228
wbm-1-50122,-36.9671,-0.6055,-0.8929,-0.542,-0.5976
wbm-1-50123,-35.9538,-0.4418,-0.6933,-0.475,-0.5024
wbm-1-50124,-46.1349,-0.7244,-1.0119,-0.744,-0.7686
wbm-1-50125,-46.1226,-0.7227,-1.0101,-0.744,-0.7324
wbm-1-50126,-39.1286,-0.6425,-0.894,-0.631,-0.6244
wbm-1-50127,-38.4517,-0.6346,-0.8861,-0.629,-0.6593
wbm-1-50128,-42.9419,-0.5496,-0.8011,-0.476,-0.5665
wbm-1-50129,-39.8574,-0.6311,-0.8826,-0.572,-0.6095
wbm-1-50130,-44.2068,-0.9478,-1.1713,-0.954,-0.9564
wbm-1-50131,-50.5679,-0.8226,-1.0741,-0.778,-0.7538
wbm-1-50132,-44.1667,-0.9244,-1.148,-0.943,-0.9281
wbm-1-50133,-42.6684,-0.5817,-0.8332,-0.49,-0.6069
wbm-1-50134,-52.4322,-0.8361,-1.0876,-0.792,-0.858
wbm-1-50135,-37.8086,-0.5604,-0.8478,-0.57,-0.5616
wbm-1-50136,-58.3723,-0.4349,-0.6178,-0.437,-0.4561
wbm-1-50137,-39.6614,-0.5643,-0.8158,-0.558,-0.568
wbm-1-50138,-39.0592,-0.5657,-0.8172,-0.562,-0.5545
wbm-1-50139,-34.2065,-0.8321,-1.1195,-0.779,-0.838
wbm-1-50140,-34.2036,-0.8317,-1.1191,-0.777,-0.8445
wbm-1-50141,-53.1579,-1.5597,-1.8471,-1.549,-1.5599
wbm-1-50142,-32.5633,-0.6763,-0.9637,-0.66,-0.6998
wbm-1-50143,-32.5752,-0.678,-0.9654,-0.656,-0.6982
wbm-1-50144,-50.727,-1.1712,-1.4587,-1.133,-1.1286
wbm-1-50145,-41.9254,-0.6959,-0.9833,-0.632,-0.6704
wbm-1-50146,-50.1805,-1.5371,-1.8245,-1.546,-1.5091
wbm-1-50147,-32.5729,-0.6478,-0.9352,-0.68,-0.6965
wbm-1-50148,-38.719,-0.5658,-0.8532,-0.568,-0.558
wbm-1-50149,-35.1136,-0.7539,-0.9775,-0.554,-0.6604
wbm-1-50150,-51.8913,-0.7633,-0.9868,-0.752,-0.8431
wbm-1-50151,-48.5449,-0.8828,-1.1064,-0.886,-0.9709
wbm-1-50152,-53.3941,-0.7849,-1.0085,-0.747,-0.9673
wbm-1-50153,-32.5546,-1.1173,-1.3688,-1.114,-1.0729
wbm-1-50154,-43.3614,-1.5021,-1.7536,-1.479,-1.4657
wbm-1-50155,-32.2859,-0.6207,-0.8722,-0.621,-0.6301
wbm-1-50156,-48.6271,-0.9109,-1.1344,-0.895,-1.0108
wbm-1-50157,-44.002,-0.7662,-1.0536,-0.659,-0.6889
wbm-1-50158,-53.4888,-0.8144,-1.0379,-0.753,-1.034
wbm-1-50159,-32.5125,-0.5709,-0.8583,-0.574,-0.5557
wbm-1-50160,-32.4674,-1.1383,-1.3898,-1.119,-1.0644
wbm-1-50161,-46.599,-1.6583,-1.9458,-1.634,-1.673
wbm-1-50162,-67.832,-1.0631,-1.3985,-1.071,-1.0737
wbm-1-50163,-42.0195,-2.1862,-2.4736,-2.075,-2.2364
wbm-1-50164,-46.8898,-0.8461,-1.0697,-0.803,-0.8236
wbm-1-50165,-42.35,-1.5618,-1.8971,-1.565,-1.58
wbm-1-50166,-28.7479,-0.5542,-0.8416,-0.502,-0.5922
wbm-1-50167,-46.1734,-0.7177,-0.9692,-0.535,-0.6585
wbm-1-50168,-35.9478,-1.6507,-1.9381,-1.573,-1.6425
wbm-1-50169,-36.9896,-0.996,-1.2475,-0.988,-1.0229
wbm-1-50170,-32.6404,-0.615,-0.9025,-0.643,-0.6327
wbm-1-50171,-52.6639,-1.6464,-1.9338,-1.655,-1.5755
wbm-1-50172,-24.3805,-0.4597,-0.7471,-0.495,-0.5074
wbm-1-50173,-30.2047,-0.5776,-0.8291,-0.564,-0.5919
wbm-1-50174,-32.6549,-0.5488,-0.8362,-0.545,-0.5428
wbm-1-50175,-34.9122,-1.6111,-1.8985,-1.711,-1.6873
wbm-1-50176,-44.9303,-2.1498,-2.4372,-2.107,-2.1017
wbm-1-50177,-35.4357,-1.6431,-1.9305,-1.639,-1.6501
wbm-1-50178,-43.2987,-2.1181,-2.4055,-2.067,-2.04
wbm-1-50179,-35.6005,-0.9613,-1.2128,-0.967,-0.9598
wbm-1-50180,-32.5404,-1.2574,-1.5448,-1.227,-1.2096
wbm-1-50181,-33.9667,-1.0677,-1.3551,-1.018,-1.0852
wbm-1-50182,-45.9462,-0.8006,-1.0521,-0.631,-0.7695
wbm-1-50183,-66.6704,-0.9864,-1.3888,-0.924,-0.8997
wbm-1-50184,-35.891,-1.0408,-1.3761,-1.071,-0.9317
wbm-1-50185,-45.9746,-1.3627,-1.6501,-1.389,-1.386
wbm-1-50186,-51.7151,-1.4595,-1.7469,-1.488,-1.4643
wbm-1-50187,-47.6122,-1.4422,-1.7297,-1.409,-1.374
wbm-1-50188,-48.2151,-1.4011,-1.6885,-1.32,-1.3802
wbm-1-50189,-49.9597,-1.4655,-1.753,-1.423,-1.4563
wbm-1-50190,-43.6184,-1.4317,-1.7192,-1.416,-1.3939
wbm-1-50191,-69.9163,-1.5437,-1.7672,-1.499,-1.5777
wbm-1-50192,-42.6804,-2.0573,-2.3448,-2.06,-2.0747
wbm-1-50193,-44.1868,-0.931,-1.1825,-0.889,-0.9593
wbm-1-50194,-44.8096,-1.7352,-2.0706,-1.742,-1.7761
wbm-1-50195,-54.5567,-0.7772,-1.0008,-0.785,-0.9062
wbm-1-50196,-45.191,-1.482,-1.8174,-1.5,-1.4725
wbm-1-50197,-39.2045,-0.9595,-1.211,-0.835,-0.974
wbm-1-50198,-41.7836,-1.3764,-1.7118,-1.37,-1.3769
wbm-1-50199,-43.1745,-1.6976,-2.033,-1.705,-1.7495
wbm-1-50200,-43.175,-1.6977,-2.033,-1.705,-1.7474
wbm-1-50201,-49.5802,-1.1084,-1.3958,-1.093,-1.0921
wbm-1-50202,-45.9643,-1.0217,-1.3091,-1.026,-1.0265
wbm-1-50203,-51.867,-1.1417,-1.4291,-1.104,-1.1103
wbm-1-50204,-47.4705,-1.0825,-1.3699,-1.06,-1.0803
wbm-1-50205,-48.3594,-1.0822,-1.3696,-0.997,-1.0889
wbm-1-50206,-50.0008,-1.1319,-1.4193,-1.106,-1.1014
wbm-1-50207,-43.6654,-1.0989,-1.3863,-1.094,-1.0993
wbm-1-50208,-42.1258,-1.8083,-2.0958,-1.807,-1.8546
wbm-1-50209,-39.4109,-1.3869,-1.6384,-1.381,-1.3859
wbm-1-50210,-48.3369,-0.7012,-0.9247,-0.637,-0.7098
wbm-1-50211,-38.9871,-0.5342,-0.7857,-0.686,-0.5832
wbm-1-50212,-39.7851,-0.7376,-0.9891,-0.763,-0.7684
wbm-1-50213,-43.0405,-1.2183,-1.5536,-1.235,-1.2541
wbm-1-50214,-49.5611,-0.8239,-1.0754,-0.86,-0.8859
wbm-1-50215,-42.863,-0.762,-1.0135,-0.653,-0.7798
wbm-1-50216,-39.5401,-1.3711,-1.6226,-1.362,-1.354
wbm-1-50217,-43.205,-0.6933,-0.9448,-0.559,-0.5488
wbm-1-50218,-41.923,-2.1533,-2.4407,-2.062,-2.2428
wbm-1-50219,-29.0749,-0.8572,-1.1446,-0.873,-0.8671
wbm-1-50220,-27.1911,-0.8203,-1.0718,-0.873,-0.8508
wbm-1-50221,-29.899,-0.8625,-1.1499,-0.879,-0.8644
wbm-1-50222,-29.9015,-0.8629,-1.1503,-0.877,-0.8804
wbm-1-50223,-29.6364,-0.904,-1.1914,-0.91,-0.9299
wbm-1-50224,-29.6493,-0.9058,-1.1932,-0.908,-0.9255
wbm-1-50225,-31.0439,-0.7456,-1.0331,-0.681,-0.7606
wbm-1-50226,-30.7524,-0.704,-0.9914,-0.697,-0.6952
wbm-1-50227,-30.7609,-0.7052,-0.9926,-0.695,-0.683
wbm-1-50228,-31.0414,-0.7453,-1.0327,-0.701,-0.7546
wbm-1-50229,-25.9592,-0.4898,-0.7772,-0.493,-0.462
wbm-1-50230,-25.9856,-0.4936,-0.781,-0.49,-0.4703
wbm-1-50231,-73.4693,-1.5761,-1.7997,-1.499,-1.5585
wbm-1-50232,-44.4188,-1.5374,-1.8727,-1.54,-1.5665
wbm-1-50233,-40.0412,-0.9825,-1.234,-0.883,-0.9922
wbm-1-50234,-35.3822,-0.8168,-1.0962,-0.794,-0.8055
wbm-1-50235,-46.0508,-0.6276,-0.9071,-0.603,-0.6237
wbm-1-50236,-48.833,-0.6342,-0.9136,-0.589,-0.6341
wbm-1-50237,-31.1355,-0.6282,-0.9875,-0.677,-0.6007
wbm-1-50238,-42.7983,-0.3947,-0.6741,-0.395,-0.3865
wbm-1-50239,-42.505,-0.4799,-0.7593,-0.443,-0.4283
wbm-1-50240,-74.1581,-1.0733,-1.4925,-1.072,-1.1377
wbm-1-50241,-51.9341,-0.957,-1.1665,-0.953,-1.0251
wbm-1-50242,-51.8385,-0.8143,-1.0938,-0.621,-0.8059
wbm-1-50243,-43.3763,-0.6256,-0.9051,-0.624,-0.6622
wbm-1-50244,-41.9198,-0.6703,-0.9497,-0.701,-0.7305
wbm-1-50245,-28.7388,-0.8708,-1.2301,-0.859,-0.8137
wbm-1-50246,-37.1376,-0.8756,-1.155,-0.891,-0.893
wbm-1-50247,-38.0502,-0.7588,-1.0383,-0.752,-0.7706
wbm-1-50248,-33.2943,-0.5964,-0.8759,-0.589,-0.6109
wbm-1-50249,-70.9976,-1.0449,-1.464,-1.062,-1.0619
wbm-1-50250,-49.9246,-0.5705,-0.8448,-0.505,-0.5814
wbm-1-50251,-48.0061,-0.5811,-0.8555,-0.53,-0.6281
wbm-1-50252,-49.338,-0.8392,-1.1135,-0.871,-0.8554
wbm-1-50253,-52.1076,-0.5402,-0.8146,-0.511,-0.5867
wbm-1-50254,-49.3583,-0.8565,-1.1308,-0.879,-0.8674
wbm-1-50255,-52.0172,-0.586,-0.8603,-0.575,-0.5752
wbm-1-50256,-41.4761,-0.37,-0.7053,-0.386,-0.3697
wbm-1-50257,-48.5881,-0.5467,-0.8211,-0.483,-0.5652
wbm-1-50258,-37.8569,-0.5094,-0.9634,-0.535,-0.519
wbm-1-50259,-42.1873,-0.827,-1.1013,-0.809,-0.8128
wbm-1-50260,-58.5937,-0.6315,-0.9059,-0.617,-0.5752
wbm-1-50261,-65.6722,-1.1144,-1.4498,-1.128,-1.2009
wbm-1-50262,-68.1992,-0.8642,-1.166,-0.865,-0.8968
wbm-1-50263,-62.4032,-1.0856,-1.4209,-1.063,-1.138
wbm-1-50264,-62.2418,-0.5918,-0.8662,-0.608,-0.5726
wbm-1-50265,-62.3482,-0.634,-0.9358,-0.615,-0.6212
wbm-1-50266,-66.9102,-1.1007,-1.436,-1.132,-1.1753
wbm-1-50267,-51.0815,-0.6254,-0.8997,-0.464,-0.7212
wbm-1-50268,-52.7526,-0.4315,-0.7059,-0.404,-0.3921
wbm-1-50269,-52.1895,-0.5202,-0.7946,-0.479,-0.3747
wbm-1-50270,-49.1988,-0.5195,-0.7938,-0.515,-0.5329
wbm-1-50271,-48.6973,-0.8717,-1.146,-0.817,-0.9052
wbm-1-50272,-49.199,-0.8299,-1.1043,-0.775,-0.8515
wbm-1-50273,-49.8432,-0.8057,-1.0801,-0.801,-0.8241
wbm-1-50274,-48.9597,-0.8775,-1.1519,-0.898,-0.8917
wbm-1-50275,-66.7414,-0.8121,-1.0865,-0.621,-0.8098
wbm-1-50276,-66.1695,-0.8085,-1.1103,-0.822,-0.7939
wbm-1-50277,-59.9035,-1.0781,-1.4134,-1.127,-1.1241
wbm-1-50278,-54.6136,-0.632,-0.9063,-0.604,-0.6368
wbm-1-50279,-42.0879,-0.2412,-0.5766,-0.231,-0.1814
wbm-1-50280,-77.1637,-1.6694,-1.9712,-1.653,-1.669
wbm-1-50281,-73.2179,-1.2316,-1.5334,-1.187,-1.2535
wbm-1-50282,-64.5124,-1.1331,-1.4685,-1.169,-1.2056
wbm-1-50283,-72.6511,-1.641,-1.9428,-1.634,-1.6178
wbm-1-50284,-62.1328,-1.3578,-1.6931,-1.295,-1.4883
wbm-1-50285,-66.3727,-1.1638,-1.4992,-1.164,-1.1842
wbm-1-50286,-66.6937,-1.7098,-2.0116,-1.668,-1.7733
wbm-1-50287,-48.2631,-0.5865,-0.8609,-0.604,-0.5925
wbm-1-50288,-61.451,-1.0715,-1.4068,-1.041,-1.0903
wbm-1-50289,-67.381,-1.1121,-1.4474,-1.13,-1.1252
wbm-1-50290,-65.1875,-1.1758,-1.5112,-1.186,-1.1506
wbm-1-50291,-56.9962,-1.2452,-1.5805,-1.181,-1.2092
wbm-1-50292,-70.5096,-1.4896,-1.7914,-1.488,-1.4986
wbm-1-50293,-67.0435,-1.4439,-1.7457,-1.469,-1.4728
wbm-1-50294,-71.8146,-1.484,-1.7858,-1.484,-1.4894
wbm-1-50295,-72.9693,-1.5302,-1.832,-1.493,-1.537
wbm-1-50296,-68.7232,-1.5038,-1.8056,-1.484,-1.4498
wbm-1-50297,-69.4728,-1.4897,-1.7915,-1.434,-1.4784
wbm-1-50298,-71.1382,-1.5269,-1.8287,-1.506,-1.5384
wbm-1-50299,-64.8021,-1.5037,-1.8055,-1.496,-1.5052
wbm-1-50300,-56.6524,-0.9429,-1.2783,-0.959,-0.868
wbm-1-50301,-44.6133,-0.9054,-1.1798,-0.911,-0.9009
wbm-1-50302,-45.475,-0.8053,-1.0797,-0.763,-0.8098
wbm-1-50303,-40.852,-0.6845,-0.9588,-0.666,-0.7124
wbm-1-50304,-58.9574,-1.3182,-1.6535,-1.28,-1.4826
wbm-1-50305,-42.6937,-0.3467,-0.6668,-0.311,-0.3336
wbm-1-50306,-72.5841,-2.1672,-2.4606,-2.19,-2.1217
wbm-1-50307,-80.8683,-2.1868,-2.4803,-2.177,-2.167
wbm-1-50308,-81.1437,-1.893,-2.1864,-1.846,-1.8667
wbm-1-50309,-69.1646,-2.0987,-2.3921,-2.016,-2.1816
wbm-1-50310,-69.242,-2.1316,-2.425,-2.05,-2.2116
wbm-1-50311,-81.6834,-2.0324,-2.3258,-2.023,-1.9997
wbm-1-50312,-75.1985,-1.9276,-2.221,-1.865,-1.8201
wbm-1-50313,-61.444,-1.8718,-2.1652,-1.956,-1.9229
wbm-1-50314,-85.9332,-2.2761,-2.5695,-2.266,-2.277
wbm-1-50315,-80.5301,-2.3784,-2.6719,-2.362,-2.3685
wbm-1-50316,-80.2722,-2.3732,-2.6667,-2.351,-2.3638
wbm-1-50317,-104.1212,-1.9755,-2.269,-1.98,-1.9876
wbm-1-50318,-56.3956,-0.3485,-0.6419,-0.37,-0.3192
wbm-1-50319,-56.145,-0.5839,-0.8774,-0.603,-0.6111
wbm-1-50320,-56.0988,-0.5004,-0.7938,-0.497,-0.4929
wbm-1-50321,-80.2999,-2.3694,-2.6628,-2.357,-2.3681
wbm-1-50322,-49.3774,-0.6584,-0.9785,-0.633,-0.6651
wbm-1-50323,-83.5246,-2.4908,-2.7842,-2.458,-2.4374
wbm-1-50324,-79.6953,-2.3446,-2.638,-2.321,-2.3482
wbm-1-50325,-76.9672,-1.8377,-2.1312,-1.827,-1.8097
wbm-1-50326,-81.0415,-2.3538,-2.6473,-2.335,-2.3247
wbm-1-50327,-55.7895,-0.6302,-0.9236,-0.663,-0.6765
wbm-1-50328,-80.8963,-2.3364,-2.6298,-2.326,-2.3013
wbm-1-50329,-124.1332,-1.9866,-2.28,-1.968,-1.9611
wbm-1-50330,-73.0533,-2.1397,-2.4331,-2.037,-2.1772
wbm-1-50331,-87.0216,-2.2004,-2.4938,-2.169,-2.1916
wbm-1-50332,-80.8254,-2.3565,-2.6499,-2.35,-2.3438
wbm-1-50333,-76.1067,-2.0823,-2.3758,-2.024,-1.9883
wbm-1-50334,-80.6719,-2.3788,-2.6722,-2.365,-2.3778
wbm-1-50335,-92.9603,-2.2447,-2.5381,-2.132,-2.1994
wbm-1-50336,-74.5425,-2.0033,-2.2967,-1.999,-1.9954
wbm-1-50337,-79.6244,-2.3575,-2.651,-2.343,-2.3562
wbm-1-50338,-105.1178,-1.6422,-1.9356,-1.643,-1.7339
wbm-1-50339,-72.8105,-2.0971,-2.3906,-2.024,-2.1824
wbm-1-50340,-59.6513,-1.9165,-2.21,-2.028,-2.0123
wbm-1-50341,-93.4123,-1.8099,-2.1033,-1.767,-1.8983
wbm-1-50342,-66.6397,-0.6394,-1.0052,-0.683,-0.6834
wbm-1-50343,-62.5847,-0.6728,-1.0386,-0.733,-0.7587
wbm-1-50344,-33.841,-0.5247,-0.7348,-0.571,-0.5091
wbm-1-50345,-11.0795,-0.0888,-0.2145,-0.003,0.1898
wbm-1-50346,-14.0115,-0.0501,-0.1758,0.103,0.1574
wbm-1-50347,-12.6006,-0.1091,-0.2348,0.009,0.0879
wbm-1-50348,-20.6727,-0.1782,-0.3459,-0.21,-0.1884
wbm-1-50349,-20.6607,-0.1762,-0.3439,-0.213,-0.1866
wbm-1-50350,-41.4741,-0.189,-0.3566,-0.196,-0.1863
wbm-1-50351,-20.6725,-0.1782,-0.3459,-0.213,-0.1775
wbm-1-50352,-41.4725,-0.1888,-0.3565,-0.221,-0.1672
wbm-1-50353,-41.1243,-0.1598,-0.3275,-0.193,-0.1576
wbm-1-50354,-30.4971,-0.2181,-0.3945,-0.26,-0.2523
wbm-1-50355,-25.464,-0.0244,-0.1502,-0.019,-0.0116
wbm-1-50356,-12.6899,0.2067,0.081,0.184,0.2068
wbm-1-50357,-7.6692,-0.0232,-0.149,0.197,0.1656
wbm-1-50358,-47.474,-0.2568,-0.4885,-0.32,-0.3488
wbm-1-50359,-12.9415,0.0785,-0.2582,0.111,0.0545
wbm-1-50360,-41.5745,-0.354,-0.5217,-0.372,-0.3165
wbm-1-50361,-7.0391,-0.0351,-0.2866,0.129,0.1205
wbm-1-50362,-29.4218,-0.1932,-0.4447,-0.146,-0.2047
wbm-1-50363,-52.3599,-0.4699,-0.5957,-0.478,-0.4533
wbm-1-50364,-20.0144,-0.0546,-0.1552,-0.133,-0.0606
wbm-1-50365,-31.4805,-0.295,-0.3579,-0.29,-0.3315
wbm-1-50366,-49.9042,-0.1356,-0.3032,-0.169,-0.1515
wbm-1-50367,-49.9902,-0.1427,-0.3104,-0.126,-0.1845
wbm-1-50368,-49.2214,-0.6243,-0.97,-0.609,-0.6316
wbm-1-50369,-79.4934,-0.7465,-0.9141,-0.74,-0.7335
wbm-1-50370,-79.5192,-0.7486,-0.9163,-0.745,-0.7176
wbm-1-50371,-46.6114,-0.4444,-0.7384,-0.46,-0.5002
wbm-1-50372,-46.7147,-0.4531,-0.7471,-0.453,-0.4429
wbm-1-50373,-76.1083,-1.7652,-1.9329,-1.733,-1.7503
wbm-1-50374,-43.1281,-0.8891,-1.0568,-0.819,-0.8544
wbm-1-50375,-66.7971,-0.611,-0.7786,-0.547,-0.5877
wbm-1-50376,-73.5803,-0.7451,-0.9128,-0.776,-0.7955
wbm-1-50377,-73.7124,-0.7561,-0.9238,-0.782,-0.7863
wbm-1-50378,-36.6939,-0.729,-0.8967,-0.749,-0.7676
wbm-1-50379,-80.1357,-0.6547,-0.8223,-0.435,-0.7556
wbm-1-50380,-80.2941,-0.6679,-0.8355,-0.488,-0.7427
wbm-1-50381,-40.0891,-0.6582,-0.8259,-0.542,-0.7297
wbm-1-50382,-13.8309,0.1858,0.0601,0.266,0.3149
wbm-1-50383,-10.2186,0.1923,0.0666,0.224,0.195
wbm-1-50384,-14.0331,0.0909,-0.0348,0.128,0.1837
wbm-1-50385,-12.9132,0.0334,-0.0923,0.192,0.2325
wbm-1-50386,-22.2968,-0.1547,-0.3224,-0.094,-0.1893
wbm-1-50387,-22.3444,-0.1627,-0.3303,-0.166,-0.1991
wbm-1-50388,-44.2191,-0.1235,-0.2912,-0.167,-0.2046
wbm-1-50389,-21.749,-0.0634,-0.2311,-0.144,-0.1749
wbm-1-50390,-22.7105,-0.2237,-0.3913,-0.235,-0.2357
wbm-1-50391,-33.0922,-0.1155,-0.2832,0.0,-0.2081
wbm-1-50392,-22.3389,-0.1617,-0.3294,-0.117,-0.1646
wbm-1-50393,-22.0427,-0.1124,-0.28,-0.117,-0.2076
wbm-1-50394,-22.3324,-0.1607,-0.3283,-0.094,-0.1946
wbm-1-50395,-21.0359,0.0554,-0.1123,0.161,-0.2257
wbm-1-50396,-21.387,-0.0031,-0.1708,-0.235,-0.1523
wbm-1-50397,-28.0398,-0.0154,-0.1412,0.076,-0.1479
wbm-1-50398,-33.9825,0.0481,-0.0525,0.102,-0.0835
wbm-1-50399,-15.8272,-0.2517,-0.5031,-0.316,-0.2084
wbm-1-50400,-31.651,-0.2512,-0.5027,-0.295,-0.2105
wbm-1-50401,-16.0149,-0.2986,-0.5501,-0.23,-0.0568
wbm-1-50402,-30.8559,-0.1518,-0.4033,-0.058,-0.0721
wbm-1-50403,-54.2379,-0.5066,-0.7581,-0.517,-0.5324
wbm-1-50404,-33.2876,-0.5441,-0.8059,-0.576,-0.5834
wbm-1-50405,-35.8617,-0.7596,-1.0738,-0.779,-0.7799
wbm-1-50406,-16.1469,-0.2211,-0.5771,-0.175,-0.3064
